"parameter","brms_mean","marginal_mean","combined_mcse","difference","within_mc_error"
"alpha",-0.0103167328266168,-0.00958081608302703,0.000938643429092074,-0.000735916743589787,TRUE
"beta",0.846443737415,0.842328582111612,0.00182244397588813,0.00411515530338757,TRUE
"mu_x",-0.0927602557061345,-0.0935896657063019,0.00126172641263501,0.00082941000016741,TRUE
"sigma_x",1.03361349694875,1.03555539122771,0.00134137768284888,-0.00194189427895575,TRUE
"sigma_y",0.6694454041725,0.671472892811046,0.00128449400110978,-0.00202748863854563,TRUE
