"id","statistic","observed","low","median","high","upper_tail"
"case01","mean_xobs",-0.0944819095370984,-0.321395764343703,-0.0928680891149426,0.137710335643617,0.505
"case01","mean_y",-0.0894048636608797,-0.292038743736353,-0.0890936985253807,0.111367581813198,0.501125
"case01","sd_xobs",1.2518249284733,1.09601218660188,1.24869321418622,1.42479195972031,0.4864375
"case01","sd_y",1.09508705271065,0.962443345393979,1.09666969121294,1.25107432349443,0.5089375
"case01","cov_xobs_y",0.899033062885555,0.618606741490918,0.890073596403,1.23443349238036,0.4820625
"case02","mean_xobs",-0.0944819095370984,-0.319194598261897,-0.092224724424866,0.139681783029066,0.507
"case02","mean_y",-0.0894048636608797,-0.293135834930593,-0.0897200684791753,0.113126416727751,0.4991875
"case02","sd_xobs",1.2518249284733,1.09435413764579,1.2471177615326,1.41900346197614,0.4801875
"case02","sd_y",1.09508705271065,0.963608401532247,1.09697198531719,1.25065820632358,0.5085625
"case02","cov_xobs_y",0.899033062885555,0.623353520002138,0.889936159839805,1.23402698583277,0.4798125
"case03","mean_xobs",-0.0944819095370984,-0.324387914086393,-0.0945406422737447,0.137993100927209,0.4999375
"case03","mean_y",-0.0894048636608797,-0.289496939229744,-0.0871977439807901,0.113161319609924,0.5075
"case03","sd_xobs",1.2518249284733,1.09098707066748,1.24525153375069,1.41849784943934,0.472375
"case03","sd_y",1.09508705271065,0.960179157065576,1.09570394684472,1.25289102570029,0.5025625
"case03","cov_xobs_y",0.899033062885555,0.61699680890667,0.887470465313105,1.23114451457087,0.475875
"case04","mean_xobs",-0.0944819095370984,-0.318604921633306,-0.0943406603244332,0.135677227011823,0.5003125
"case04","mean_y",-0.0894048636608797,-0.289414214132489,-0.0884561320687473,0.110776052431717,0.503
"case04","sd_xobs",1.2518249284733,1.08937502776784,1.24332225569192,1.41444837220049,0.4666875
"case04","sd_y",1.09508705271065,0.962667928369063,1.09436809456349,1.24561596110263,0.497
"case04","cov_xobs_y",0.899033062885555,0.619745406919339,0.886088682826002,1.22722940274647,0.4739375
"case05","mean_xobs",-0.0944819095370984,-0.319970136676411,-0.0929353042832028,0.13667878488248,0.5038125
"case05","mean_y",-0.0894048636608797,-0.290943683580366,-0.0894642244332474,0.117373078667551,0.4995625
"case05","sd_xobs",1.2518249284733,1.09000009041045,1.23657256920335,1.40703408772221,0.43675
"case05","sd_y",1.09508705271065,0.95902073522125,1.09567687350214,1.25159110907783,0.5025625
"case05","cov_xobs_y",0.899033062885555,0.621195131569335,0.888713560862564,1.23044062104034,0.477625
"case06","mean_xobs",-0.0944819095370984,-0.333581712680282,-0.0900775501840329,0.153073512501325,0.512125
"case06","mean_y",-0.0894048636608797,-0.292699762822761,-0.0872031985328756,0.117186676655139,0.507625
"case06","sd_xobs",1.2518249284733,1.19016182649211,1.33735262433664,1.505191663589,0.8193125
"case06","sd_y",1.09508705271065,0.961124850405075,1.09426967462898,1.24836842233271,0.4965625
"case06","cov_xobs_y",0.899033062885555,0.603625366286468,0.888109829328822,1.25041636895185,0.4779375
"case07","mean_xobs",-0.0944819095370984,-0.323459404844492,-0.0935576149427916,0.138176042532136,0.5026875
"case07","mean_y",-0.0894048636608797,-0.290525828995004,-0.0896113709539206,0.111489061736881,0.4995
"case07","sd_xobs",1.2518249284733,1.09934297349524,1.25527186257617,1.42688097471293,0.515375
"case07","sd_y",1.09508705271065,0.955857655950135,1.09036546479974,1.24377840238272,0.4783125
"case07","cov_xobs_y",0.899033062885555,0.611091056314925,0.883895484040283,1.22655968734729,0.4685625
